"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"QUEENS","2013",2016,"Automobile Accident (Pi)",1100000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",40000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",30000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",6000
"QUEENS","2012",2016,"Civil Rights Claims",10000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"STATEN ISLAND (RICHMOND)","2014",2016,"Automobile Accident (Pi)",60000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident (Pi)",6000
"BROOKLYN (KINGS)","2011",2016,"Automobile Accident (Pi)",125000
"STATEN ISLAND (RICHMOND)","2011",2016,"Civil Rights Claims",1500000
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident",3059.71
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"STATEN ISLAND (RICHMOND)","2014",2016,"Civil Rights Claims",50000
"** Borough Missing **","2014",2016,"Civil Rights Claims",16001
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",25000
"** Borough Missing **","2015",2016,"Civil Rights Claims",7500
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",22500
"MANHATTAN (NEW YORK)","2011",2016,"Civil Rights Claims",1000
"** Borough Missing **","2015",2016,"Civil Rights Claims",11000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",8000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",15000
"QUEENS","2014",2016,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",25000
"MANHATTAN (NEW YORK)","2013",2016,"Peace Officer/Police Action (Pi)",50000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",20000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",9500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",17500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",15001
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident (Pi)",2000
"BRONX","2015",2016,"Civil Rights Claims",20000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",15000
"BROOKLYN (KINGS)","1997",2016,"Peace Officer/Police Action (Pi)",850000
